Question,Answer,Category,Keyword
What is the status of land allocation?,"Controversial with allegations of political favoritism.",politics,land
What is the status of urban land delivery?,"Slow with allegations of corruption in some municipalities.",politics,land
What is the status of housing allocation?,"Long waiting lists with allegations of favoritism.",politics,development
What is the status of drought relief?,"Government provides drought relief but adequacy is sometimes questioned.",politics,development
What is the status of social grants?,"Old age, disability, and child support grants help vulnerable populations.",politics,development
What is the status of food security?,"Generally good though drought affects some households.",politics,development
What is the status of nutrition programs?,"School feeding and other programs address malnutrition.",politics,health
What is the status of school infrastructure?,"Improving but still inadequate in some rural areas.",politics,education
What is the status of teacher training?,"Ongoing efforts to improve quality and numbers.",politics,education
What is the status of university funding?,"Public universities receive government subsidies but face funding constraints.",politics,education
What is the status of student financing?,"Government provides loans and grants but coverage is limited.",politics,education
What is the status of vocational training?,"Expanding to address skills gaps and youth unemployment.",politics,education
What is the status of healthcare infrastructure?,"Improving but rural areas still lack adequate facilities.",politics,health
What is the status of healthcare staffing?,"Shortages, especially in rural areas.",politics,health
What is the status of HIV treatment?,"Good coverage with about 90% of diagnosed receiving treatment.",politics,health
What is the status of TB treatment?,"High burden but improving treatment coverage.",politics,health
What is the status of malaria control?,"Good control in endemic northern regions.",politics,health
What is the status of COVID-19 response?,"Generally effective with vaccination campaigns.",politics,health
What is the status of waterborne diseases?,"Occasional outbreaks in areas with poor sanitation.",politics,health
What is the status of non-communicable diseases?,"Growing burden of diabetes, hypertension, and cancer.",politics,health
What is the status of mental health services?,"Limited though awareness is growing.",politics,health
